"estuary","slopes","ci.up","ci.low","pvals","s.pvals","STATE","DLAT","DLONG","CONDITION","CLASSIFICATION","SUBCLASS","BARRIER_BACKBARRIER","CENTRAL_BASIN","FLUVIAL_BAYHEAD_DELTA","FLOOD_EBB_DELTA","INTERTIDAL_FLATS","MANGROVE","SALTMARSH_SALTFLAT","TIDAL_SANDBANKS","ROCKY_REEF","CORAL","CHANNEL","BEDROCK","FLOODPLAIN","BEDROCK_PERIMETER","PERIMETER","CATCHMENTAREA","WATERAREA","MAXLENGTH","MAXWIDTH","ENTLENGTH","ENTRANCEWIDTH","MEANWAVEHEIGHT","MEANWAVEPERIOD","MAXWAVEHEIGHT","MAXWAVEPERIOD","TIDALRANGE","TIDALTYPE"
"Annan River",1.15518352946911e-05,1.8016973632033e-05,5.08669695734911e-06,0.000404905320416803,1.05385617437615e-06,"QLD",-15.53,145.271,"largely unmodified","river dominated","WAVE-DOMINATED DELTA",0.35952,NA,NA,1.69066,0.1262,4.5125,1.8362,0.83717,NA,NA,2.02314,NA,NA,1.45581,37.49,992,3.01,13.48,0.74,NA,0.19,0.797,6.056,2.1,14,2,"Semi Diurnal"
"Ansons Bay",1.03672361902683e-05,2.18430310759478e-05,-1.10855869541124e-06,0.0716536379491796,0.000304653575834869,"TAS",-41.063,148.298,"modified","wave dominated","WAVE-DOMINATED ESTUARY",2.08117,4.13874,0.04809,0.54213,0.2369,NA,0.04956,NA,0.42715,NA,0.24273,NA,NA,0.06896,21.65,296,4.69,8.53,2.26,2.02,0.12,0.97,6.114,3,9.9,1.3,"Diurnal"
"Apsley Strait",-5.6226718702263e-07,9.02130553702343e-06,-1.01458399110687e-05,0.906675230620222,0.00542973706160286,"NT",-11.319,130.37,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340.97,1790,246.92,69.69,5.23,NA,14.49,0.074,6.296,1.1,14.7,3.4,"Semi Diurnal"
"Archer Bay",8.20023310188488e-06,1.2765845893326e-05,3.63462031044379e-06,0.000356250557886923,2.14557751993876e-21,"QLD",-13.348,141.651,"near pristine","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.35,16310,66.12,37.49,NA,NA,2.14,0.125,3.666,2.3,11.4,1.7,"Diurnal"
"Arnhem Bay",1.01362465336714e-05,1.73940170629919e-05,2.87847600435091e-06,0.0053615351864736,0.960608409202504,"NT",-12.22,136.098,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.07,5092,1123.85,42.31,43.15,NA,14.31,0.157,2.559,0.9,6.7,4.1,"Semi Diurnal"
"Arthur River",2.16992573684828e-05,4.58190974660547e-05,-2.4205827290892e-06,0.0742929440078955,0.550800000818148,"TAS",-41.054,144.663,"near pristine","wave dominated","OTHER",0.05951,NA,NA,0.11535,0.12319,NA,0.2041,NA,0.04024,NA,1.64452,NA,NA,NA,30.23,2496,2.06,14.14,NA,NA,0.12,2.85,8.734,10.5,13.4,1.8,"Semi Diurnal"
"Ashburton River",2.69770113553909e-05,3.45877234147915e-05,1.93662992959904e-05,5.06276729418883e-12,7.59449364797049e-57,"WA",-21.69,114.914,"largely unmodified","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,2.87303,2.98174,28.12473,0.05251,NA,NA,3.28681,NA,NA,2.70283,44.12,78420,3.78,21.47,NA,NA,0.66,0.384,3.388,1.6,7.7,1.8,"Semi Diurnal"
"Auckland Inlet",-2.51156640346928e-06,3.14771912928694e-06,-8.1708519362255e-06,0.375244486364618,1.34409533364059e-16,"QLD",-23.833,151.252,"extensively modified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,NA,0.20497,0.11237,NA,NA,NA,1.41956,NA,NA,0.00944,19.52,56,1.02,6.97,0.16,0.13,0.18,0.44,6.241,2.1,9.8,3.2,"Semi Diurnal"
"Avoca Lake",4.55004251153998e-06,1.59341571023394e-05,-6.83407207925949e-06,0.424634091661567,0.15768070551527,"NSW",-33.465,151.435,"modified","wave dominated","OTHER",0.22639,0.46223,0.02927,0.01465,0.0976,0.006,0.15206,NA,NA,NA,0.00564,NA,NA,0.04602,10.07,NA,0.63,1.39,0.6,0.63,0.044,NA,NA,NA,NA,NA,""
"Back Lagoon",5.36870064883812e-06,1.24678154612234e-05,-1.7304141635471e-06,0.130934952395497,0.0101383379297336,"NSW",-36.883,149.929,"modified","wave dominated","OTHER",0.33253,0.32766,0.14619,0.02481,0.0103,NA,NA,NA,0.00292,NA,0.1042,NA,NA,4.70497,5.82,NA,0.41,1.38,0.63,NA,0.22,NA,NA,NA,NA,NA,""
"Baffle Creek",-3.25226384829205e-06,6.90877511069994e-06,-1.3413302807284e-05,0.522474051012086,2.42140354137594e-08,"QLD",-24.514,152.059,"near pristine","river dominated","TIDE-DOMINATED DELTA",0.33673,NA,NA,1.78669,2.59902,2.50227,3.38417,0.71651,NA,NA,7.59418,NA,NA,1.94616,74.83,2652,9.95,19.81,0.84,NA,0.41,0.863,5.836,2.7,9.1,2.3,"Semi Diurnal"
"Bakers Creek",6.3163930968262e-06,1.61654413209568e-05,-3.53265512730439e-06,0.200317121472665,0.00960641929813739,"QLD",-21.216,149.187,"modified","tide dominated","TIDE-DOMINATED ESTUARY",0.83576,NA,NA,3.55022,1.31018,4.09728,1.91386,1.2603,NA,NA,2.2039,NA,NA,0.58252,23.29,230,2.14,10.08,NA,NA,0.46,0.188,5.776,1.3,9.5,4.7,"Semi Diurnal"
"Baragoot Lake",5.05876998204784e-06,1.13304117468941e-05,-1.21287178279844e-06,0.107155840979415,0.000173183601145258,"NSW",-36.471,150.065,"largely unmodified","wave dominated","OTHER",0.31216,0.47082,0.18258,0.05383,0.034,NA,NA,NA,0.00142,NA,NA,NA,NA,2.68991,5.27,NA,0.47,1.93,0.59,0.38,0.04,NA,NA,NA,NA,NA,""
"Barham River",2.39925892524455e-05,9.34052965207892e-05,-4.54201180158982e-05,0.495794011979785,0.00593125992437562,"VIC",-38.766,143.668,"modified","wave dominated","STRANDPLAIN",0.01129,NA,NA,NA,0.14536,NA,NA,NA,NA,NA,0.13568,NA,NA,0.05223,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Barker Inlet",1.40456754668121e-05,2.82882621062687e-05,-1.96911172644518e-07,0.0492638538120175,1.14284705632842e-05,"WA",-33.821,121.35,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.06729,1.41736,0.27162,NA,0.0347,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,NA,1.44,2.49,1.23,0.82,0.044,NA,NA,NA,NA,NA,""
"Barramundi Creek",2.92958097847318e-07,6.83920579585589e-06,-6.25328960016126e-06,0.928724261715051,7.98901448409673e-09,"QLD",-19.411,147.168,"largely unmodified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,5.31432,0.72177,16.67631,19.92313,NA,NA,NA,4.65788,NA,NA,11.43782,NA,20,NA,NA,NA,NA,NA,0.222,4.911,1.6,9.8,2.4,"Semi Diurnal"
"Barratta Creek",2.53783335850751e-06,8.71326491355839e-06,-3.63759819654337e-06,0.411618387276996,6.99767017300412e-06,"QLD",-19.433,147.253,"modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,10.9323,NA,17.8235,21.879,0.89423,NA,NA,2.89012,NA,NA,7.03004,NA,1466,NA,NA,NA,NA,NA,0.225,5.094,1.9,9.7,2.4,"Semi Diurnal"
"Barron River",8.82041823182258e-06,1.41262365985094e-05,3.51459986513575e-06,0.000948458464407849,2.94939617063556e-22,"QLD",-16.863,145.765,"modified","river dominated","WAVE-DOMINATED DELTA",0.2995,NA,NA,1.48121,0.57828,6.45331,0.7164,NA,NA,NA,2.16804,NA,NA,NA,32.57,2159,1.54,11.57,NA,NA,0.423,0.371,4.8,1.2,12.2,2,"Diurnal"
"Barwon River",2.01803965936909e-05,3.34999100315748e-05,6.86088315580713e-06,0.00264775671111811,7.45589934033913e-10,"VIC",-38.286,144.501,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.3792,8.33747,0.48088,0.43088,1.91563,0.22153,11.98214,NA,1.12542,NA,2.02118,NA,NA,1.38428,75.06,4496,15,18.9,3.17,9.88,0.86,1.103,7.66,3.9,13.9,1.1,"Semi Diurnal"
"Basin Creek",-5.00699972603547e-06,9.48319125841659e-06,-1.94971907104875e-05,0.489919192827605,9.22368011004425e-06,"QLD",-21.749,149.435,"largely unmodified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,NA,11.19868,2.83193,1.34638,0.96193,NA,NA,1.05291,NA,NA,NA,18.19,110,1.59,6.62,NA,NA,0.88,0.67,4.869,2.6,7.9,5.1,"Semi Diurnal"
"Bathurst Harbour",3.42556624683376e-05,5.01223265601235e-05,1.83889983765517e-05,2.17244854156295e-05,3.79317994134191e-10,"TAS",-43.327,145.984,"near pristine","tide dominated","OTHER",1.00346,17.63404,0.02754,8.00629,0.94878,NA,0.77642,NA,0.02951,NA,0.7078,NA,NA,0.54917,137.5,1147,66.82,24.77,7.54,NA,0.9,2.882,8.853,8.5,13.7,0.6,"Diurnal"
"Bauer Inlet",3.14113937250315e-06,2.37029683306471e-05,-1.74206895856408e-05,0.760853573803934,0.0750141677121647,"QLD",-15.871,145.363,"near pristine","wave dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69,63,0.086,1.53,NA,NA,0.38,1.099,5.975,2.8,13.7,2,"Semi Diurnal"
"Beaufort Inlet",5.57688308468598e-06,2.27636881722023e-05,-1.16099220028304e-05,0.516909177525837,3.96169732367541e-12,"WA",-34.472,118.902,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.40786,4.24005,0.24196,NA,0.18425,NA,0.41858,NA,NA,NA,2.19181,NA,NA,21.52876,35.59,6260,6.81,13.89,1.48,0.21,0.259,1.543,7.522,4.3,14.4,0.6,"Diurnal"
"Beebingarra Creek",2.27826936004284e-05,3.07577919580128e-05,1.4807595242844e-05,1.49443555901157e-08,1.45453438674551e-17,"WA",-20.327,118.672,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,1.48838,4.76641,16.2892,NA,NA,NA,15.79853,NA,NA,9.51612,32.23,483,3.13,2.69,NA,NA,1.37,0.028,4.554,0.4,9.7,5.8,"Semi Diurnal"
"Beelbi Creek",-1.65946077056127e-05,-3.87300806733834e-06,-2.9316207343887e-05,0.00951085400269102,0.00529693413565714,"QLD",-25.249,152.662,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",0.14656,NA,NA,8.44453,0.13505,1.05181,3.77235,0.28014,NA,NA,0.6386,NA,NA,0.25347,13.25,155,0.55,6.29,NA,NA,0.17,0.345,4.427,1,10.6,2.4,"Semi Diurnal"
"Bega River",3.9195077282673e-06,9.65202557828036e-06,-1.81301012174575e-06,0.171899200612111,0.0243109552333266,"NSW",-36.706,149.984,"modified","wave dominated","WAVE-DOMINATED ESTUARY",1.79346,0.37899,1.29864,0.34935,0.5358,0.04052,0.02586,0.12513,0.02259,NA,2.73705,NA,NA,20.60032,39.92,1956,2.25,11.78,0.53,0.55,0.14,1.039,6.319,5.1,11.4,1.2,"Semi Diurnal"
"Bellinger River",1.71984634441564e-05,2.35276705284954e-05,1.08692563598174e-05,9.57749192548735e-08,0.360477447853012,"NSW",-30.5,153.034,"modified","river dominated","WAVE-DOMINATED DELTA",2.18638,NA,NA,0.506,0.98968,1.04625,0.10733,0.41242,NA,NA,4.48345,NA,2.25448,1.2067,72.86,1039,6.615,16.08,0.4,NA,0.33,1.373,7.135,6.7,14,1.3,"Semi Diurnal"
"Belongil Creek",9.74106654976114e-06,2.4553412658271e-05,-5.07127955874868e-06,0.189892216441155,0.0211664436635956,"NSW",-28.626,153.592,"modified","wave dominated","OTHER",NA,0.05355,NA,NA,0.47311,0.05171,0.06916,0.00395,NA,NA,0.11411,NA,NA,NA,4.26,41,0.15,1.89,0.26,NA,0.052,1.106,6.673,3.4,11.6,1.3,"Semi Diurnal"
"Bermagui River",1.30972009834813e-05,1.97254232466355e-05,6.46897872032711e-06,8.56462967034629e-05,0.93753472333412,"NSW",-36.425,150.065,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.20377,0.19928,0.97496,0.39799,0.27543,0.43458,0.3467,NA,0.12768,NA,0.63618,NA,0.1547,0.09129,19.6,78,0.87,7.68,0.25,1.05,0.089,1.259,6.605,6.1,11.9,1.1,"Semi Diurnal"
"Betka River",-6.29624093517619e-06,7.32878028195749e-06,-1.99212621523099e-05,0.35582010585733,6.93771696797407e-07,"VIC",-37.585,149.742,"near pristine","wave dominated","WAVE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.49,171,0.45,5.77,0.26,NA,0.085,1.391,6.721,5.1,11.6,1,"Diurnal"
"Bing Bong Creek",3.61932821982578e-06,9.31506712982218e-06,-2.07641069017063e-06,0.204477653304462,1.36549314211984e-47,"NT",-15.597,136.324,"near pristine","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,2.29958,4.51446,1.57736,15.26115,0.49203,NA,NA,1.26009,NA,3.7323,NA,24.78,509,2.06,7.56,NA,NA,0.97,0.056,3.709,0.6,7.7,2.2,"Diurnal"
"Bizant River",3.71209456000256e-06,1.09794948260233e-05,-3.55530570601814e-06,0.307790921345982,8.40065462206584e-08,"QLD",-14.48,144.031,"near pristine","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.37,284,3.98,19.88,NA,NA,0.48,0.381,3.336,1.4,7.9,2.1,"Semi Diurnal"
"Blackman Bay",2.70745392892676e-05,4.23514707612261e-05,1.1797607817309e-05,0.000478368086323631,0.00320796754292297,"TAS",-42.845,147.886,"modified","wave dominated","WAVE-DOMINATED ESTUARY",1.00346,17.63404,0.02754,8.00629,0.94878,NA,0.77642,NA,0.02951,NA,0.7078,NA,NA,22.48361,43.55,141,25.85,10.99,4.28,1.09,0.35,0.752,5.73,2.8,10.5,1.2,"Diurnal"
"Blackrock Creek",4.62341469736922e-06,1.67872843571123e-05,-7.54045496237388e-06,0.447627254735346,0.0107776735034676,"QLD",-20.811,148.828,"largely unmodified","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,NA,2.54388,11.55242,3.22254,3.22147,0.02874,NA,6.51615,0.07466,NA,NA,35.85,226,6.05,7.58,2.9,NA,2.95,0.579,4.293,2.2,8,3.6,"Semi Diurnal"
"Blackwater/Mitchell Creek",-1.94855908104114e-05,-7.39987348203361e-06,-3.15713081387892e-05,0.00140518863160221,1.73823541144151e-18,"QLD",-24.439,152.011,"near pristine","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,268,0.39,5.75,NA,NA,0.045,0.475,6.304,2.1,10.2,2.4,"Semi Diurnal"
"Bloomfield River",1.47417347279654e-05,2.19769607429144e-05,7.50650871301652e-06,6.04464069102998e-05,0.137574524715286,"QLD",-15.922,145.363,"near pristine","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.55,591,1.05,8.21,0.39,NA,0.068,1.099,5.975,2.8,13.7,1.9,"Semi Diurnal"
"Blue Mud Bay",NA,0,0,NA,NA,"NT",-11.199,131.851,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.52,58,9.63,4.1,NA,NA,5.56,0.188,4.92,2.6,8.7,2.4,"Diurnal"
"Blythe River",-1.01416986363464e-05,2.01863377112156e-05,-4.04697349839084e-05,0.504687233643746,0.0153763785770639,"TAS",-41.074,145.985,"modified","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,0.01102,0.15991,NA,NA,NA,0.04979,NA,0.19423,NA,NA,2.37196,5.32,350,0.13,2.27,NA,NA,0.074,1.047,5.116,5.5,10.1,2.6,"Semi Diurnal"
"Boambee Creek",3.52434791944517e-05,5.79743052390457e-05,1.25126531498576e-05,0.00339966185129877,0.561659432037629,"NSW",-30.297,153.138,"modified","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,0.03893,0.27191,0.1925,0.02391,0.04792,NA,NA,0.52504,NA,NA,NA,9.06,48,0.28,4.15,0.12,NA,0.067,0.68,7.427,4.9,14.4,1.3,"Semi Diurnal"
"Bohle River",1.11004235492235e-05,1.80448007354322e-05,4.15604636301475e-06,0.0014911503457194,0.365565815442357,"QLD",-19.192,146.7,"modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,2.24753,1.45786,3.80425,12.88961,0.03166,0.00419,NA,1.38997,NA,3.15237,NA,20.91,305,0.79,8.72,NA,NA,0.61,0.867,5.711,3.9,12.6,2.4,"Diurnal"
"Bonville Creek",1.89014703736455e-05,2.79132861753952e-05,9.88965457189582e-06,3.79274031224485e-05,0.116996949706866,"NSW",-30.376,153.101,"largely unmodified","river dominated","WAVE-DOMINATED DELTA",0.60379,NA,NA,0.19045,0.00691,0.11506,0.30348,0.11802,NA,NA,0.84558,NA,NA,NA,31.42,162,1.323,7.29,0.45,1.59,0.052,0.68,7.427,4.9,14.4,1.3,"Semi Diurnal"
"Botany Bay",2.26760640459304e-05,3.01759289934027e-05,1.51761990984581e-05,2.27461355385227e-09,0.0691571032932404,"NSW",-34.003,151.234,"extensively modified","tide dominated","OTHER",NA,NA,0.05194,NA,4.38422,6.71176,2.52822,0.46381,0.49049,NA,56.81502,NA,NA,1.44722,49.39,1143,38.31,8.72,7.77,NA,1.37,1.322,6.83,9.2,13.1,1.2,"Semi Diurnal"
"Bowes River",9.71991746695425e-05,0.000134989340123753,5.94090092153318e-05,2.05688833807924e-06,1.09963775792908e-06,"WA",-28.412,114.454,"modified","river dominated","WAVE-DOMINATED DELTA",0.03141,NA,NA,NA,0.07926,0.09294,NA,NA,0.01842,NA,0.23906,NA,NA,0.01882,5.78,NA,0.15,2.83,NA,NA,0.069,NA,NA,NA,NA,NA,""
"Boyne River",-2.64161152259138e-06,2.24242827301063e-06,-7.52565131819339e-06,0.279926456158633,5.33409667991617e-13,"QLD",-23.859,151.303,"modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,3.61804,3.66483,9.43675,7.90574,0.49403,0.48488,NA,7.24504,NA,1.2285,26.36481,50.15,2484,6.6,16.24,1.02,NA,1.43,0.44,6.241,2.1,9.8,3,"Semi Diurnal"
"Branch Creek",1.2246757289605e-05,1.9190893173007e-05,5.30262140620296e-06,0.00045444372662764,6.71084117224348e-36,"QLD",-19.925,147.986,"near pristine","wave dominated","STRANDPLAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,147,0.5,3.49,0.19,NA,0.43,0.519,5.47,2.1,11.8,2.4,"Semi Diurnal"
"Brid River",1.58981154615565e-05,3.78760411936482e-05,-6.07981027053514e-06,0.150740117601918,0.00435091304375347,"TAS",-41.001,147.398,"modified","river dominated","WAVE-DOMINATED DELTA",1.74234,NA,NA,0.27653,0.39903,NA,0.04819,0.07917,0.011,NA,0.4332,NA,NA,NA,8.62,257,0.2,3.99,NA,2.45,0.53,1.155,5.139,5.9,9.4,2.2,"Semi Diurnal"
"Brisbane Airport Floodway/Kedron Brook",1.78862996032116e-05,2.43959378580442e-05,1.13766613483791e-05,7.24248167001151e-08,1.44780168757258e-20,"QLD",-27.348,153.111,"extensively modified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,1.22576,1.32728,0.06792,NA,NA,NA,0.95122,NA,NA,0.52353,13.71,40,0.84,6.37,0.36,NA,0.25,0.5,5.857,1.2,9.7,1.8,"Semi Diurnal"
"Brisbane River",7.37983650833221e-06,1.32806238231061e-05,1.47904919355832e-06,0.0127519258829911,9.54714486772989e-05,"QLD",-27.373,153.166,"extensively modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,23.50464,9.37042,6.49358,1.48684,NA,NA,NA,14.38054,NA,NA,7.64306,123.54,13643,18.67,45.88,1.34,NA,1.75,0.5,5.857,1.2,9.7,1.8,"Semi Diurnal"
"Brisbane Water",2.74641607854e-05,3.5351023221096e-05,1.95772983497041e-05,1.34946986768457e-11,0.00494180201639039,"NSW",-33.524,151.334,"extensively modified","wave dominated","WAVE-DOMINATED ESTUARY",NA,14.74592,1.56331,4.65419,1.63192,0.61843,1.78227,NA,0.01207,NA,13.63152,NA,NA,1.20754,89.43,217,28.898,17.72,3.74,7.85,0.32,1.388,6.958,9.4,13.3,0.8,"Semi Diurnal"
"Broke Inlet",2.02461336736897e-05,3.34744691577821e-05,7.01779818959723e-06,0.00233729907241205,7.20005469740202e-16,"WA",-34.937,116.373,"near pristine","wave dominated","WAVE-DOMINATED ESTUARY",0.11924,41.03584,4.78425,0.81619,1.44994,NA,NA,NA,0.02768,NA,0.82087,NA,NA,0.53683,65.58,2061,36.23,16.25,5.86,4.25,0.2,2.157,8.63,10.3,13.8,0.4,"Diurnal"
"Brunswick River",1.31878982523036e-05,2.51733092955908e-05,1.20248720901642e-06,0.0284912200483345,0.0144598163226934,"NSW",-28.538,153.557,"extensively modified","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,1.55731,0.69942,0.2106,0.51451,0.01,NA,0.68677,NA,NA,0.01638,40.72,198,1.96,9.31,0.24,NA,0.059,1.269,6.749,4.3,11.8,1.3,"Semi Diurnal"
"Bryans Lagoon",3.60417909124853e-05,0.000167376556365611,-9.52929745406406e-05,0.586436988293563,0.061953031537058,"TAS",-42.261,148.29,"near pristine","wave dominated","STRANDPLAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09,NA,NA,1.65,0.3,1.32,0.051,NA,NA,NA,NA,NA,""
"Buckle Head Creek",-5.01074178717012e-06,2.11873218373703e-06,-1.21402157580773e-05,0.160366155714208,0.000969819646838107,"WA",-14.451,127.832,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,0.80632,2.85879,5.15172,1.68782,NA,NA,0.88152,NA,5.52284,0.16649,14.73,115,0.61,6.23,NA,NA,0.81,0.496,4.1,4.5,8.8,4.4,"Semi Diurnal"
"Bunga Lagoon",6.90279439303881e-06,1.79722289518315e-05,-4.16664016575389e-06,0.212918261765624,0.199918717279246,"NSW",-36.547,150.055,"largely unmodified","wave dominated","WAVE-DOMINATED ESTUARY",0.13795,0.08782,0.08158,0.01469,0.04194,NA,NA,NA,NA,NA,0.03391,NA,NA,3.18669,2.85,NA,0.1,1.07,0.33,0.32,0.022,NA,NA,NA,NA,NA,""
