"estuary","slopes","ci.up","ci.low","pvals","s.pvals","STATE","DLAT","DLONG","CONDITION","CLASSIFICATION","SUBCLASS","BARRIER_BACKBARRIER","CENTRAL_BASIN","FLUVIAL_BAYHEAD_DELTA","FLOOD_EBB_DELTA","INTERTIDAL_FLATS","MANGROVE","SALTMARSH_SALTFLAT","TIDAL_SANDBANKS","ROCKY_REEF","CORAL","CHANNEL","BEDROCK","FLOODPLAIN","BEDROCK_PERIMETER","PERIMETER","CATCHMENTAREA","WATERAREA","MAXLENGTH","MAXWIDTH","ENTLENGTH","ENTRANCEWIDTH","MEANWAVEHEIGHT","MEANWAVEPERIOD","MAXWAVEHEIGHT","MAXWAVEPERIOD","TIDALRANGE","TIDALTYPE"
"Bakers Creek",3.36083463323146e-06,1.0328718778987e-05,-3.60704951252412e-06,0.335259262711398,0.000114073935186322,"QLD",-21.216,149.187,"modified","tide dominated","TIDE-DOMINATED ESTUARY",0.83576,NA,NA,3.55022,1.31018,4.09728,1.91386,1.2603,NA,NA,2.2039,NA,NA,0.58252,23.29,230,2.14,10.08,NA,NA,0.46,0.188,5.776,1.3,9.5,4.7,"Semi Diurnal"
"Baragoot Lake",2.32789489057241e-06,7.26637614510921e-06,-2.61058636396438e-06,0.346135444344637,0.607901527088969,"NSW",-36.471,150.065,"largely unmodified","wave dominated","OTHER",0.31216,0.47082,0.18258,0.05383,0.034,NA,NA,NA,0.00142,NA,NA,NA,NA,2.68991,5.27,NA,0.47,1.93,0.59,0.38,0.04,NA,NA,NA,NA,NA,""
"Barham River",-4.55590352402211e-06,2.26989355144888e-05,-3.1810742562533e-05,0.74039109870306,0.256270870094493,"VIC",-38.766,143.668,"modified","wave dominated","STRANDPLAIN",0.01129,NA,NA,NA,0.14536,NA,NA,NA,NA,NA,0.13568,NA,NA,0.05223,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Barker Inlet",2.3032457080671e-06,9.7338447995541e-06,-5.12735338341991e-06,0.535654867219016,8.26101902730865e-07,"WA",-33.821,121.35,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.06729,1.41736,0.27162,NA,0.0347,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,NA,1.44,2.49,1.23,0.82,0.044,NA,NA,NA,NA,NA,""
"Barramundi Creek",-8.62451091925677e-07,3.92974830566341e-06,-5.65465048951476e-06,0.71907464612612,2.38703203228554e-07,"QLD",-19.411,147.168,"largely unmodified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,5.31432,0.72177,16.67631,19.92313,NA,NA,NA,4.65788,NA,NA,11.43782,NA,20,NA,NA,NA,NA,NA,0.222,4.911,1.6,9.8,2.4,"Semi Diurnal"
"Barratta Creek",4.81549114435211e-08,4.13860188838433e-06,-4.04229206549728e-06,0.981227313038617,0.00814621592101947,"QLD",-19.433,147.253,"modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,10.9323,NA,17.8235,21.879,0.89423,NA,NA,2.89012,NA,NA,7.03004,NA,1466,NA,NA,NA,NA,NA,0.225,5.094,1.9,9.7,2.4,"Semi Diurnal"
"Barron River",7.30148448414241e-07,4.1203363781167e-06,-2.66003948128822e-06,0.666837350685718,2.78922621694286e-09,"QLD",-16.863,145.765,"modified","river dominated","WAVE-DOMINATED DELTA",0.2995,NA,NA,1.48121,0.57828,6.45331,0.7164,NA,NA,NA,2.16804,NA,NA,NA,32.57,2159,1.54,11.57,NA,NA,0.423,0.371,4.8,1.2,12.2,2,"Diurnal"
"Barwon River",1.05285864174645e-05,1.72174392319888e-05,3.83973360294022e-06,0.00179956074306227,9.60971615449858e-05,"VIC",-38.286,144.501,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.3792,8.33747,0.48088,0.43088,1.91563,0.22153,11.98214,NA,1.12542,NA,2.02118,NA,NA,1.38428,75.06,4496,15,18.9,3.17,9.88,0.86,1.103,7.66,3.9,13.9,1.1,"Semi Diurnal"
"Basin Creek",1.10898752307177e-06,1.17934173687905e-05,-9.575442322647e-06,0.835657096506265,0.00393714359213724,"QLD",-21.749,149.435,"largely unmodified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,NA,11.19868,2.83193,1.34638,0.96193,NA,NA,1.05291,NA,NA,NA,18.19,110,1.59,6.62,NA,NA,0.88,0.67,4.869,2.6,7.9,5.1,"Semi Diurnal"
"Bathurst Harbour",-1.72560050469413e-05,-6.65699542869072e-06,-2.78550146651919e-05,0.00126290969842981,0.000237486982113387,"TAS",-43.327,145.984,"near pristine","tide dominated","OTHER",1.00346,17.63404,0.02754,8.00629,0.94878,NA,0.77642,NA,0.02951,NA,0.7078,NA,NA,0.54917,137.5,1147,66.82,24.77,7.54,NA,0.9,2.882,8.853,8.5,13.7,0.6,"Diurnal"
"Bauer Inlet",-3.60508564644211e-06,9.20865986292916e-06,-1.64188311558134e-05,0.575415958433568,0.14355015199619,"QLD",-15.871,145.363,"near pristine","wave dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69,63,0.086,1.53,NA,NA,0.38,1.099,5.975,2.8,13.7,2,"Semi Diurnal"
"Beaufort Inlet",1.08321945851361e-05,2.02087732000342e-05,1.45561597023799e-06,0.0216099456638231,0.00908766447724802,"WA",-34.472,118.902,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.40786,4.24005,0.24196,NA,0.18425,NA,0.41858,NA,NA,NA,2.19181,NA,NA,21.52876,35.59,6260,6.81,13.89,1.48,0.21,0.259,1.543,7.522,4.3,14.4,0.6,"Diurnal"
"Beebingarra Creek",1.12568968470961e-05,1.71966932981956e-05,5.31710039599665e-06,0.000160237265562429,3.96708715718812e-36,"WA",-20.327,118.672,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,1.48838,4.76641,16.2892,NA,NA,NA,15.79853,NA,NA,9.51612,32.23,483,3.13,2.69,NA,NA,1.37,0.028,4.554,0.4,9.7,5.8,"Semi Diurnal"
"Beelbi Creek",-1.56479467057283e-05,-6.35972874788833e-06,-2.49361646635683e-05,0.000844001199386539,0.0635335958334848,"QLD",-25.249,152.662,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",0.14656,NA,NA,8.44453,0.13505,1.05181,3.77235,0.28014,NA,NA,0.6386,NA,NA,0.25347,13.25,155,0.55,6.29,NA,NA,0.17,0.345,4.427,1,10.6,2.4,"Semi Diurnal"
"Bega River",2.60362912539108e-06,6.40487984373864e-06,-1.19762159295648e-06,0.171144509040051,9.44942681335171e-11,"NSW",-36.706,149.984,"modified","wave dominated","WAVE-DOMINATED ESTUARY",1.79346,0.37899,1.29864,0.34935,0.5358,0.04052,0.02586,0.12513,0.02259,NA,2.73705,NA,NA,20.60032,39.92,1956,2.25,11.78,0.53,0.55,0.14,1.039,6.319,5.1,11.4,1.2,"Semi Diurnal"
"Bellinger River",1.19412942930902e-05,1.6913072313627e-05,6.96951627255337e-06,2.21519395181113e-06,5.67051643609804e-06,"NSW",-30.5,153.034,"modified","river dominated","WAVE-DOMINATED DELTA",2.18638,NA,NA,0.506,0.98968,1.04625,0.10733,0.41242,NA,NA,4.48345,NA,2.25448,1.2067,72.86,1039,6.615,16.08,0.4,NA,0.33,1.373,7.135,6.7,14,1.3,"Semi Diurnal"
"Belongil Creek",3.05718887412288e-06,1.42519568755224e-05,-8.13757912727666e-06,0.585522662984499,0.118276787160718,"NSW",-28.626,153.592,"modified","wave dominated","OTHER",NA,0.05355,NA,NA,0.47311,0.05171,0.06916,0.00395,NA,NA,0.11411,NA,NA,NA,4.26,41,0.15,1.89,0.26,NA,0.052,1.106,6.673,3.4,11.6,1.3,"Semi Diurnal"
"Bermagui River",6.51638116681951e-06,1.21795471611691e-05,8.53215172469944e-07,0.0216775560980919,0.0178130390688458,"NSW",-36.425,150.065,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.20377,0.19928,0.97496,0.39799,0.27543,0.43458,0.3467,NA,0.12768,NA,0.63618,NA,0.1547,0.09129,19.6,78,0.87,7.68,0.25,1.05,0.089,1.259,6.605,6.1,11.9,1.1,"Semi Diurnal"
"Betka River",-1.13001066710321e-05,-3.4825215122421e-06,-1.91176918298221e-05,0.00400997346268764,0.000424296084879064,"VIC",-37.585,149.742,"near pristine","wave dominated","WAVE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.49,171,0.45,5.77,0.26,NA,0.085,1.391,6.721,5.1,11.6,1,"Diurnal"
"Bing Bong Creek",5.31908525461832e-06,9.67382929603092e-06,9.64341213205721e-07,0.0149867458702634,4.63632595639361e-63,"NT",-15.597,136.324,"near pristine","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,2.29958,4.51446,1.57736,15.26115,0.49203,NA,NA,1.26009,NA,3.7323,NA,24.78,509,2.06,7.56,NA,NA,0.97,0.056,3.709,0.6,7.7,2.2,"Diurnal"
"Bizant River",-6.1335679182011e-07,5.114298551865e-06,-6.34101213550522e-06,0.830552965260105,0.000211237061085126,"QLD",-14.48,144.031,"near pristine","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.37,284,3.98,19.88,NA,NA,0.48,0.381,3.336,1.4,7.9,2.1,"Semi Diurnal"
"Blackman Bay",-9.08947530577399e-06,4.45759545584889e-06,-2.26365460673969e-05,0.180957699367291,1.97028726318307e-09,"TAS",-42.845,147.886,"modified","wave dominated","WAVE-DOMINATED ESTUARY",1.00346,17.63404,0.02754,8.00629,0.94878,NA,0.77642,NA,0.02951,NA,0.7078,NA,NA,22.48361,43.55,141,25.85,10.99,4.28,1.09,0.35,0.752,5.73,2.8,10.5,1.2,"Diurnal"
"Blackrock Creek",2.67061690975498e-07,9.39695147463151e-06,-8.86282809268051e-06,0.953379916047071,1.37747754136762e-08,"QLD",-20.811,148.828,"largely unmodified","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,NA,2.54388,11.55242,3.22254,3.22147,0.02874,NA,6.51615,0.07466,NA,NA,35.85,226,6.05,7.58,2.9,NA,2.95,0.579,4.293,2.2,8,3.6,"Semi Diurnal"
"Blackwater/Mitchell Creek",-9.06376254188078e-06,-6.40292624212251e-07,-1.74872324595493e-05,0.0322127577533585,9.84240327804059e-05,"QLD",-24.439,152.011,"near pristine","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,268,0.39,5.75,NA,NA,0.045,0.475,6.304,2.1,10.2,2.4,"Semi Diurnal"
"Bloomfield River",8.60016711086682e-07,6.52962945408264e-06,-4.80959603190928e-06,0.761836996634051,2.05807668197387e-08,"QLD",-15.922,145.363,"near pristine","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.55,591,1.05,8.21,0.39,NA,0.068,1.099,5.975,2.8,13.7,1.9,"Semi Diurnal"
"Blue Mud Bay",NA,0,0,NA,NA,"NT",-11.199,131.851,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.52,58,9.63,4.1,NA,NA,5.56,0.188,4.92,2.6,8.7,2.4,"Diurnal"
"Blythe River",-1.59164361518268e-05,9.54136870711059e-07,-3.27870091743646e-05,0.0612019088712081,0.0148954247377721,"TAS",-41.074,145.985,"modified","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,0.01102,0.15991,NA,NA,NA,0.04979,NA,0.19423,NA,NA,2.37196,5.32,350,0.13,2.27,NA,NA,0.074,1.047,5.116,5.5,10.1,2.6,"Semi Diurnal"
"Boambee Creek",2.27436937434337e-05,4.15435182484064e-05,3.94386923846106e-06,0.0198408422354531,0.612774416218794,"NSW",-30.297,153.138,"modified","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,0.03893,0.27191,0.1925,0.02391,0.04792,NA,NA,0.52504,NA,NA,NA,9.06,48,0.28,4.15,0.12,NA,0.067,0.68,7.427,4.9,14.4,1.3,"Semi Diurnal"
"Bohle River",8.47590304031143e-06,1.34239255506721e-05,3.52788052995074e-06,0.000671693596791282,4.01177655583342e-06,"QLD",-19.192,146.7,"modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,2.24753,1.45786,3.80425,12.88961,0.03166,0.00419,NA,1.38997,NA,3.15237,NA,20.91,305,0.79,8.72,NA,NA,0.61,0.867,5.711,3.9,12.6,2.4,"Diurnal"
"Bonville Creek",8.26988525055624e-06,1.5347597718823e-05,1.19217278228946e-06,0.0202231600805641,0.68330829894049,"NSW",-30.376,153.101,"largely unmodified","river dominated","WAVE-DOMINATED DELTA",0.60379,NA,NA,0.19045,0.00691,0.11506,0.30348,0.11802,NA,NA,0.84558,NA,NA,NA,31.42,162,1.323,7.29,0.45,1.59,0.052,0.68,7.427,4.9,14.4,1.3,"Semi Diurnal"
"Botany Bay",1.18012286698275e-05,1.73394805939836e-05,6.26297674567145e-06,2.27406027217129e-05,3.02873983614014e-15,"NSW",-34.003,151.234,"extensively modified","tide dominated","OTHER",NA,NA,0.05194,NA,4.38422,6.71176,2.52822,0.46381,0.49049,NA,56.81502,NA,NA,1.44722,49.39,1143,38.31,8.72,7.77,NA,1.37,1.322,6.83,9.2,13.1,1.2,"Semi Diurnal"
"Bowes River",7.53166206108206e-05,0.00010740288840209,4.32303528195516e-05,1.08305097102284e-05,0.22740144962701,"WA",-28.412,114.454,"modified","river dominated","WAVE-DOMINATED DELTA",0.03141,NA,NA,NA,0.07926,0.09294,NA,NA,0.01842,NA,0.23906,NA,NA,0.01882,5.78,NA,0.15,2.83,NA,NA,0.069,NA,NA,NA,NA,NA,""
"Boyne River",-3.92471738958649e-06,-1.72383820157342e-07,-7.67705095901563e-06,0.036983553609261,2.490029181068e-53,"QLD",-23.859,151.303,"modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,3.61804,3.66483,9.43675,7.90574,0.49403,0.48488,NA,7.24504,NA,1.2285,26.36481,50.15,2484,6.6,16.24,1.02,NA,1.43,0.44,6.241,2.1,9.8,3,"Semi Diurnal"
"Branch Creek",2.50840454470951e-06,6.8974725020137e-06,-1.88066341259468e-06,0.253513737626348,4.46157125408227e-16,"QLD",-19.925,147.986,"near pristine","wave dominated","STRANDPLAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,147,0.5,3.49,0.19,NA,0.43,0.519,5.47,2.1,11.8,2.4,"Semi Diurnal"
"Brid River",-5.05668567014876e-06,6.67131300332268e-06,-1.67846843436202e-05,0.390348312143307,0.028161759443768,"TAS",-41.001,147.398,"modified","river dominated","WAVE-DOMINATED DELTA",1.74234,NA,NA,0.27653,0.39903,NA,0.04819,0.07917,0.011,NA,0.4332,NA,NA,NA,8.62,257,0.2,3.99,NA,2.45,0.53,1.155,5.139,5.9,9.4,2.2,"Semi Diurnal"
"Brisbane Airport Floodway/Kedron Brook",9.30484166101926e-06,1.40519546867272e-05,4.5577286353113e-06,0.000105238099135851,3.36848226693485e-51,"QLD",-27.348,153.111,"extensively modified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,1.22576,1.32728,0.06792,NA,NA,NA,0.95122,NA,NA,0.52353,13.71,40,0.84,6.37,0.36,NA,0.25,0.5,5.857,1.2,9.7,1.8,"Semi Diurnal"
"Brisbane River",2.52706280820228e-06,6.60831316340803e-06,-1.55418754700347e-06,0.216266646682041,1.57070570797847e-13,"QLD",-27.373,153.166,"extensively modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,23.50464,9.37042,6.49358,1.48684,NA,NA,NA,14.38054,NA,NA,7.64306,123.54,13643,18.67,45.88,1.34,NA,1.75,0.5,5.857,1.2,9.7,1.8,"Semi Diurnal"
"Brisbane Water",1.97284068322907e-05,2.72172801210123e-05,1.2239533543569e-05,2.24483570429468e-07,6.01420771118093e-15,"NSW",-33.524,151.334,"extensively modified","wave dominated","WAVE-DOMINATED ESTUARY",NA,14.74592,1.56331,4.65419,1.63192,0.61843,1.78227,NA,0.01207,NA,13.63152,NA,NA,1.20754,89.43,217,28.898,17.72,3.74,7.85,0.32,1.388,6.958,9.4,13.3,0.8,"Semi Diurnal"
"Broke Inlet",-5.5545328582431e-06,-2.93168471659237e-07,-1.0815897244827e-05,0.0352814559487957,5.08913148294437e-21,"WA",-34.937,116.373,"near pristine","wave dominated","WAVE-DOMINATED ESTUARY",0.11924,41.03584,4.78425,0.81619,1.44994,NA,NA,NA,0.02768,NA,0.82087,NA,NA,0.53683,65.58,2061,36.23,16.25,5.86,4.25,0.2,2.157,8.63,10.3,13.8,0.4,"Diurnal"
"Brunswick River",1.31437644829707e-05,2.26068337798243e-05,3.68069518611706e-06,0.00580224633301216,0.107592304242577,"NSW",-28.538,153.557,"extensively modified","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,1.55731,0.69942,0.2106,0.51451,0.01,NA,0.68677,NA,NA,0.01638,40.72,198,1.96,9.31,0.24,NA,0.059,1.269,6.749,4.3,11.8,1.3,"Semi Diurnal"
"Bryans Lagoon",-8.47495328576817e-05,1.38859875940909e-05,-0.000183385053309454,0.0934490271497601,0.379735074405256,"TAS",-42.261,148.29,"near pristine","wave dominated","STRANDPLAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09,NA,NA,1.65,0.3,1.32,0.051,NA,NA,NA,NA,NA,""
"Buckle Head Creek",-6.42624148989748e-06,-9.06746462202961e-07,-1.1945736517592e-05,0.0202256513390071,0.00083451839370117,"WA",-14.451,127.832,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,0.80632,2.85879,5.15172,1.68782,NA,NA,0.88152,NA,5.52284,0.16649,14.73,115,0.61,6.23,NA,NA,0.81,0.496,4.1,4.5,8.8,4.4,"Semi Diurnal"
"Bunga Lagoon",7.30209603412128e-06,1.51020226982914e-05,-4.97830630048857e-07,0.0617466844581311,0.00783087345795957,"NSW",-36.547,150.055,"largely unmodified","wave dominated","WAVE-DOMINATED ESTUARY",0.13795,0.08782,0.08158,0.01469,0.04194,NA,NA,NA,NA,NA,0.03391,NA,NA,3.18669,2.85,NA,0.1,1.07,0.33,0.32,0.022,NA,NA,NA,NA,NA,""
